1 2000	0.376832	0.0327221	0.375217	0.031484
2 2000	0.222174	0.0132321	0.438233	0.0254183
3 2000	0.160714	0.0153525	0.473702	0.0445794
4 2000	0.151384	0.0366739	0.589768	0.141373
5 2000	0.169309	0.0323343	0.820174	0.154268
6 2000	0.124377	0.0267682	0.7255	0.155401
7 2000	0.128361	0.00430077	0.871508	0.0272868
8 2000	0.128055	0.0201312	0.970106	0.119575
9 2000	0.110004	0.0291172	0.930722	0.169127
10 2000	0.10248	0.0105823	0.962631	0.0759852
11 2000	0.0976865	0.014019	0.992604	0.0908959
12 2000	0.0881459	0.0148136	1.00049	0.156388
